"","day","year","mo","da","collision_date","NUM_COLLISIONS","temp","dewp","slp","visib","wdsp","mxpsd","gust","max","min","prcp","sndp","fog","rain_drizzle","snow_ice_pellets","hail","thunder","tornado_funnel_cloud"
"209",4,2015,1,8,"2015-01-08",573,13.1,-2.4,1022.7,9.9,14.8,21,29.9,27,6.1,0,999.9,0,0,1,0,0,0
"210",5,2018,1,26,"2018-01-26",677,25.3,7,1035,10,14.4,21,31.1,32,21,0,999.9,0,0,0,0,0,0
"211",3,2013,1,16,"2013-01-16",578,41.6,40,1018.3,7,8.8,21,27,45,39.2,0.35,999.9,0,1,0,0,0,0
"212",5,2017,1,13,"2017-01-13",604,46.8,37.5,1022.8,7.2,12.6,21,25.1,50,37.9,0.39,999.9,0,0,0,0,0,0
"213",3,2014,1,1,"2014-01-01",399,28.2,10.4,1025.6,10,11.3,21,28.9,32,25,0,999.9,0,0,0,0,0,0
"214",3,2017,1,4,"2017-01-04",590,46.5,43.7,996.4,6.2,13.6,21,28,53.1,42.1,0.87,999.9,1,1,0,0,0,0
"215",1,2019,1,21,"2019-01-21",412,13.7,6.3,1003.4,7,17,21,33,28.9,6.1,1.5,999.9,0,1,1,0,0,0
"216",2,2015,1,6,"2015-01-06",777,20.8,5.2,1025.2,8.8,10.3,21,31.1,28,19,0,999.9,0,0,1,0,0,0
"217",3,2013,1,23,"2013-01-23",545,16.2,-1.1,1018.6,10,15.6,21,28.9,21.9,12.9,0.01,999.9,0,0,0,0,0,0
"218",6,2014,1,4,"2014-01-04",418,18.8,10.9,1030.5,9.3,12.1,21,26,35.1,8.1,0.01,999.9,0,0,1,0,0,0
"219",2,2013,1,1,"2013-01-01",381,38,25.6,1008.8,10,15,21,28,41,33.1,0,999.9,0,0,0,0,0,0
"220",6,2019,1,5,"2019-01-05",455,43.8,42.4,1005.8,5,11.8,21,31.1,46.9,30.9,0.25,999.9,0,1,0,0,1,0
"221",2,2018,1,9,"2018-01-09",684,38.3,32.3,1016.8,9.3,14.6,21,28,43,30.9,0.01,999.9,0,1,0,0,0,0
